concept,label
eternity,eternity
fertility,fertility
gentility,gentility
hope,hope
hope,hope
hope,Hope
hope,Hope
inflexibility,inflexibility
love,love
measuring,measuring
melancholy,melancholy
melancholy,Melancholy
navigation,navigation
northCarolina,North Carolina
permanence,permanence
prudence,prudence
prudence,Prudence
puertoRico,Puerto Rico
reason,reason
resurrection,resurrection
resurrection,resurrection
rightConduct,right conduct
rightConduct,right conduct
science,science
seduction,seduction
strength,strength
strength,Strength
success,success
sweetness,sweetness
temperance,temperance
temperance,Temperance
theActOfCreation,the act of creation
theArchangelAnael,the archangel Anael
theHead,the head
thePersonificationsOfArchitecture,the personifications of Architecture
theSoul,the soul
theSubconscious,the subconscious
theUniverse,the universe
theUniverse,the universe
theUniverse,the universe
theWord,the Word
thought,thought
transcendentKnowledge,transcendent knowledge
truth,truth
truth,Truth
understanding,understanding
understanding,understanding
urania,Urania
vanity,vanity
vanity,Vanity
varuna,Varuna
virginia,Virginia
wisdom,wisdom
wisdom,Wisdom
aCorpse,a corpse
calvary,Calvary
changeOmen,change omen
beauty,beauty
beauty,beauty
crucifixion,crucifixion
divineLeadership,divine leadership
doomForTheMalefactor,doom for the malefactor
episcopalJurisdictionAndAuthority,episcopal jurisdiction and authority
finishedRedemption,finished redemption
fireSticksOfAgni,fire sticks of Agni
giles,Giles
inHeraldry,in heraldry
manSLongingForTheHigherWorld,man’s longing for the higher world
occasionallySsBernard,occasionally SS Bernard
pastoralLife,pastoral life
pastoralOffice,pastoral office
powerToDrawSoulsToGodAndToGoadTheSlothfulTheHookedEndIsForPullingAndThePointedEndIsForProdding,"power to draw souls to God and to goad the slothful (the hooked end is for pulling, and the pointed end is for prodding)"
protectionInChildbirth,protection in childbirth
protectionInChildbirth,protection in childbirth
salvationThroughChristSSacrifice,salvation through Christ’s sacrifice
serviceInTheCrusade,service in the Crusade
ssLouisOfFrance,SS Louis of France
theAxisOfTheEquinox,the axis of the equinox
theAxisOfTheWheelOfLawAndRoundOfExistence,the axis of the Wheel of Law and Round of Existence
theBalanceOfPerfection,the balance of perfection
theCimmereanSibyl,the Cimmerean sibyl
theCommonGood,the common good
theCorrectionOfVices,the correction of vices
theDescentOfSpiritIntoMatter,the descent of spirit into matter
theExpansionOfBeing,the expansion of being
theFourDirectionsInWhichTheSunShines,the four directions in which the sun shines
theFourElementsOfTheWorldUnited,the four elements of the world united
theGangesRiver,the Ganges River
theHumanForm,the human form
theMoonGoddess,the moon goddess
theNaturalOrderOfTheElements,the natural order of the elements
theNegative,the negative
theShepherdSWatchfulness,the shepherd’s watchfulness
theSixPhasesOfTimeAndOfWorldDuration,the six phases of time and of world duration
theSufferingOfExistence,the suffering of existence
theSupremeIdentity,the Supreme Identity
theSupremeIdentityPerfectCommunionOfAllStatesOfBeing,"the Supreme Identity, perfect communion of all states of being"
temperance,temperance
temperance,Temperance
theJustMan,the just man
thePersianSibyl,the Persian sibyl
thePersonificationsOfNight,the personifications of Night
thePresenceOfWitches,the presence of witches
theWordOfGod,the word of God
theWordOfGod,the Word of God
tranquility,tranquility
transitoriness,transitoriness
transitoriness,Transitoriness
weakness,weakness
jacob,Jacob
lambdaThetaAlpha,Lambda Theta Alpha
maharashtra,Maharashtra
piKappaSigma,Pi Kappa Sigma
smithGods,smith gods
theStars,the stars
gentleness,gentleness
gentleness,gentleness
gentleness,Gentleness
gentleness,Gentleness
vigilance,vigilance
vigilance,Vigilance
iDieTomorrow,I die tomorrow
age,age
alexanderTheGreat,Alexander the Great
athenaMinerva,Athena/Minerva
care,care
care,Care
christ,Christ
courage,courage
courage,courage
dionysusBacchus,Dionysus/Bacchus
elegance,elegance
enlightenment,enlightenment
envy,envy
envy,Envy
experiment,experiment
fawning,fawning
goodNews,good news
grace,grace
humility,humility
humility,Humility
hunting,hunting
loyalty,loyalty
martyrdom,martyrdom
nemesisInvidia,Nemesis/Invidia
occasionally,occasionally
persia,Persia
sacredToTheSun,sacred to the sun
sickness,sickness
sickness,Sickness
speed,speed
speed,Speed
stLaurence,St. Laurence
strength,strength
strength,strength
strength,Strength
strength,Strength
stVincentOfSaragossa,St. Vincent of Saragossa
theArchangelMichael,the archangel Michael
theCosmos,the cosmos
theDualNatureOfChrist,the dual nature of Christ
theIncarnation,the Incarnation
theNorthwestTerritories,the Northwest Territories
theSun,the sun
theSun,the Sun
theYoungCornGod,the young corn god
turkmenistan,Turkmenistan
vengeance,vengeance
victory,victory
victory,Victory
vigilance,vigilance
vigilance,vigilance
vigilance,Vigilance
vigilance,Vigilance
watchfulness,watchfulness
watchfulness,watchfulness
winter,Winter
wisdom,wisdom
wisdom,Wisdom
thePersonificationsOfLust,the personifications of Lust
accidents,accidents
ageOfMajority,age of majority
anEvilNumber,an evil number
angelsAtTheTombOfChristThievesAtTheCrucifixion,"angels at the tomb of Christ, thieves at the Crucifixion"
anOminousSign,an ominous sign
aNumberWithoutMeaning,a number without meaning
aSignOfGreatReward,a sign of great reward
aWeakNumber,a weak number
criminality,criminality
cycles,cycles
difficulties,difficulties
diversity,diversity
houseOfGod,House of God
innerPeace,inner peace
moon,moon
moon,Moon
opinion,opinion
tranquility,tranquility
transitoriness,transitoriness
transitoriness,Transitoriness
unfulfilledLonging,unfulfilled longing
unification,unification
valor,valor
wealth,wealth
elevation,elevation
ssCosmasAndDamian,SS Cosmas and Damian
utu,Utu
psychicPower,psychic power
brazil,Brazil
burundi,Burundi
cambodia,Cambodia
canada,Canada
coition,coition
colorado,Colorado
containment,containment
cupid,cupid
cupid,Cupid
death,death
death,Death
divineDefense,divine defense
georgiaCountry,Georgia (country)
georgiaUSState,Georgia (U.S. state)
germany,Germany
grief,grief
hawaii,Hawaii
heart,heart
heart,Heart
housewives,housewives
illinois,Illinois
ireland,Ireland
italy,Italy
italy,Italy
jharkhand,Jharkhand
kama,Kama
kyiv,Kyiv
louisiana,Louisiana
maine,Maine
malta,Malta
marsPlanet,Mars (planet)
massachusetts,Massachusetts
massachusetts,Massachusetts
massachusetts,Massachusetts
mississippi,Mississippi
modesty,modesty
nagaland,Nagaland
newJersey,New Jersey
newYorkCity,New York City
novaScotia,Nova Scotia
novaScotia,Nova Scotia
parasite,parasite
persistence,persistence
poland,Poland
rejection,rejection
rhodeIsland,Rhode Island
serbia,Serbia
servility,servility
solitude,solitude
solitude,Solitude
south,South
south,South
south,South
southAfrica,South Africa
southCarolina,South Carolina
strength,strength
strength,Strength
texas,Texas
theFemininePrinciple,the feminine principle
theMaternalBody,the maternal body
theUnconscious,the unconscious
theUnitedKingdom,the United Kingdom
theUnitedKingdom,the United Kingdom
tranquility,tranquility
treasure,treasure
ukraine,Ukraine
ukraine,Ukraine
utah,Utah
victory,victory
victory,Victory
witchcraft,witchcraft
wyoming,Wyoming
divineRevelation,divine revelation
15thWeddingAnniversaries,15th wedding anniversaries
celestialPowerAndLight,celestial power and light
demeterCeres,Demeter/Ceres
hearingNoSlander,hearing no slander
hisRealizationOfTheFiveGyanas,his realization of the five gyanas
marriedRomanWomen,married Roman women
royalBirth,royal birth
sebastianEspeciallyWithArrows,Sebastian (especially with arrows)
seeingNothingUnworthy,seeing nothing unworthy
spiritualEnlightenmentEspeciallyAJeweledCrown,spiritual enlightenment (especially a jeweled crown)
ssFrancesXavier,SS Frances Xavier
ssMargaretOfAntiochEspeciallyWhenShownWithADragon,SS Margaret of Antioch (especially when shown with a dragon)
stJohnGualberto,St. John Gualberto
stLouisOfToulouse,St. Louis of Toulouse
stScholastica,St. Scholastica
theConsummationOrVictoryOfTheSupernatural,the consummation or victory of the supernatural
theCumanSibyl,the Cuman sibyl
theEarthlyPowerThatDeathTakesAway,the earthly power that death takes away
theFixationOfAVolatileSubstance,the fixation of a volatile substance
thePerfectionOfAMetal,the perfection of a metal
thePharaoh,the pharaoh
thePower,the power
theReigningChrist,the Reigning Christ
theRomanEmperorAndComus,the Roman emperor and Comus
theStateOfNonBeing,the state of Non-Being
theSuccessfulCompletionOfAnAlchemicalOperation,the successful completion of an alchemical operation
theSufferingSavior,the suffering Savior
generosity,generosity
hecate,Hecate
honor,honor
humility,humility
humility,Humility
iran,Iran
iran,Iran
judea,Judea
kindness,kindness
lucy,Lucy
magnanimity,magnanimity
malaysia,Malaysia
medard,Medard
meekness,meekness
meekness,Meekness
melancholy,melancholy
melancholy,Melancholy
mexico,Mexico
mexico,Mexico
militaryVictory,military victory
obedience,obedience
obedience,Obedience
pakistan,Pakistan
patience,patience
patience,patience
patience,Patience
patience,Patience
poland,Poland
riches,riches
slavery,slavery
spring,spring
spring,Spring
ssAmbrose,SS Ambrose
ssBarbara,SS Barbara
stolidity,stolidity
submissiveness,submissiveness
suffering,suffering
sylvester,Sylvester
theDominicanRepublic,the Dominican Republic
theLaw,the law
theLaw,the Law
theNativityOfChrist,the nativity of Christ
theNativityOfChrist,the Nativity of Christ
thePalestinianNationalAuthority,the Palestinian National Authority
thePersonificationsOfChastity,the personifications of Chastity
thePersonificationsOfSloth,the personifications of Sloth
theRighteous,the righteous
theRighteousMan,the righteous man
theSolar,the solar
theVoid,the void
theVoid,the void
theVoid,the Void
theVoid,the Void
tyranny,tyranny
union,union
venezuela,Venezuela
victoryOverTheFlesh,victory over the flesh
virginia,Virginia
virgo,Virgo
vulva,vulva
wisdom,wisdom
wisdom,Wisdom
labor,labor
theStateOfPalestine,the State of Palestine
toil,toil
toil,Toil
abodeOfTheArchangelGabriel,abode of the archangel Gabriel
aFailureOfOrderNaturalOrProperDevelopment,"a failure of order, natural or proper development"
anUnbalancedPsyche,an unbalanced psyche
ashang,Ashang
ashtaroth,Ashtaroth
ayAta,Ay Ata
bushes,bushes
abodeOfTheDead,abode of the dead
archangelGabriel,archangel Gabriel
chandraprabha,Chandraprabha
cosmicForcesOneStepRemovedFromChaos,cosmic forces one step removed from chaos
daughterOfTlaloc,daughter of Tlaloc
difficultiesToBeOvercomeOnAQuest,difficulties to be overcome on a quest
disorderPrecedingCreation,disorder preceding creation
dissolutionAndCoagulation,dissolution and coagulation
earlyChildhood,early childhood
epona,Epona
erlik,Erlik
erlik,Erlik
etc,etc
faithfulnessPersonified,Faithfulness personified
femininityUsually,femininity (usually)
guardianOfTreasureImmortality,"guardian of treasure, immortality"
heavenSBeauty,heaven’s beauty
hina,Hina
husbandOfAllWomen,husband of all women
hyacinthOftenWithAStatueOfTheVirginMary,Hyacinth (often with a statue of the Virgin Mary)
impulse,impulse
innerKnowledge,inner knowledge
instinctsThatHinderManInHisSearchForTruth,instincts that hinder man in his search for truth
involuntaryAndInstinctualAction,involuntary and instinctual action
irrationalThoughtOrBehavior,irrational thought or behavior
lifeStyle,life-style
lightOfTheGreatSpirit,light of the Great Spirit
14ManousControlTheWorldInSuccessiveReignsDuringTheGreatCycleOfMahakalpa,14 Manous control the world in successive reigns during the great cycle of Mahakalpa
ageOfMajorityForKings,age of majority for kings
ageOfMosesWhenHeDied,age of Moses when he died
aHolyNumber,a holy number
aLargeCrowd,a large crowd
aMagicalNumber,a magical number
beginningAnew,beginning anew
charity,charity
charity,Charity
charity,Charity)
completionOfATemporalSeries,completion of a temporal series
constructionAndDestruction,construction and destruction
croesus,Croesus
diseases,diseases
generallyAnUnluckyNumber,generally an unlucky number
infections,infections
mayHaveEroticConnotations,may have erotic connotations
murderers,murderers
osirisWasCutInto14Pieces,Osiris was cut into 14 pieces
passageToAHigherLevelOfExistence,passage to a higher level of existence
peopleAtTheLastSupper,people at the Last Supper
petalsOfTheMainChakra,petals of the main chakra
piecesOfOsirisRecoveredByIsis,pieces of Osiris recovered by Isis
playingCardsInEachSuit,playing cards in each suit
progressionTheDevilTheArchangelCassiel,"progression, the devil, the archangel Cassiel"
sacrifice,sacrifice
skinsOfCowsZoroasterUsedToWriteHis20Books,skins of cows Zoroaster used to write his 20 books
suchAsJesus,such as Jesus
the13ConstellationsInTheirZodiac,the 13 constellations in their zodiac
the13EvilSpirits,the 13 evil spirits
the13FundamentalDoctrines,the 13 fundamental doctrines
the13FundamentalDoctrinesOfMaimonides,the 13 fundamental doctrines of Maimonides
the13Heavens,the 13 heavens
the13LunationsInAYear,the 13 lunations in a year
the13MembersOfACoven,the 13 members of a coven
the13SegmentsInTheSacredCord,the 13 segments in the sacred cord
the13Tenebrae,the 13 Tenebrae
the15MysteriesOfTheRosary,the 15 mysteries of the rosary
the15TempleStepsGradualPsalms,"the 15 Temple steps, gradual Psalms"
the16Arhats,the 16 Arhats
the16Goddesses,the 16 goddesses
the16PetalsOfTheVisuddhaChakraFrontOfTheThroat,the 16 petals of the Visuddha chakra (front of the throat)
theArkOfGilgameshPrescribedByAnuWasACube120CubitsOnEachSide,the Ark of Gilgamesh prescribed by Anu was a cube 120 cubits on each side
theCatholicityOfTheChurch,the catholicity of the Church
theDaysInAWeek,the days in a week
theElectOfTheTribesOfIsrael,the elect of the tribes of Israel
theForceOfTheHistoricalEvents,the force of the historical events
theHolySpiritBeingSpreadInNature,the Holy Spirit being spread in nature
theImpactOfChanges,the impact of changes
theLengthWidthAndHeightInStadiaOfTheNewJerusalem,"the length, width, and height in stadia of the New Jerusalem"
theLimitOfManSAgeAsFixedByGod,the limit of man’s age as fixed by God
theNumberOfAllTheTypesOfFishesInExistence,the number of all the types of fishes in existence
theNumberOfFishTakenByTheApostlesWhenJesusDirectedThemWhereToCastTheirNets,the number of fish taken by the apostles when Jesus directed them where to cast their nets
theNumberWhoWillBeSaved,the number who will be saved
thePassageOfTheExternalVisitorsOfThisDimension,the passage of the external visitors of this dimension
thePlenitudeOfScience,the plenitude of science
thePowerAndGloryOfChristTheKing,the power and glory of Christ the King
thePresenceOfTheBeingsEvolvingThroughTheseChanges,the presence of the beings evolving through these changes
theRaysOfLightOriginatedFromAllTheSevenChakras,the rays of light originated from all the seven chakras
theSealsOfEachOfTheTribesOfIsrael,the seals of each of the tribes of Israel
theSkies,the skies
theStonesOnTheOutsideOfTheGreatPyramid,the stones on the outside of the Great Pyramid
theVibrationsOfTheDivineCreationWhichTravelInTheCosmosAndThatAreSourceOfLife,the vibrations of the divine creation which travel in the cosmos and that are source of life
theYearsThatNoahHadToBuildTheArk,the years that Noah had to build the Ark
yearsInOneCycleOfAMahayuga,years in one cycle of a Mahayuga
yearsTheWorldWouldLast,years the world would last
aSacredNumber,a sacred number
ascent,ascent
betrayal,betrayal
birth,birth
buddha,Buddha
cleansing,cleansing
comfort,comfort
delusion,delusion
divination,divination
dragons,dragons
faithlessness,faithlessness
fruitsOfTheSpirit,fruits of the spirit
fusion,fusion
good,good
judasIscariot,Judas Iscariot
justice,justice
justice,Justice
kingDavid,King David
loss,loss
misfortune,misfortune
organization,organization
protection,protection
purification,purification
satan,Satan
snakes,snakes
snakes,Snakes
theArchangelRaphael,the archangel Raphael
theArchangelZadkiel,the archangel Zadkiel
theChurch,the Church
theDevil,the devil
theDevil,the Devil
theTrinity,the Trinity
thunderAndLightning,thunder and lightning
time,time
plebian,plebian
possessorOfMysticPowers,possessor of mystic powers
preEminence,pre-eminence
prestige,prestige
rewardOfMartyrs,reward of martyrs
rewardRighteousness,reward righteousness
ritualCleansing,ritual cleansing
royalOrSeigniorialAuthority,royal or seigniorial authority
stBlaise,St. Blaise
strategyInBattle,strategy in battle
theConverseOfHumanSociety,the converse of human society
theFourfoldMysteryOfTheCross,the fourfold mystery of the Cross
theFreeFrenchInWorldWarIi,the Free French in World War II
theIsolationOfOneWhoLivesOnASuperiorPlane,the isolation of one who lives on a superior plane
theNegativeOrOccult,the negative or occult
watchfulnessForFriends,watchfulness for friends
arizona,Arizona
asclepius,Asclepius
beginning,beginning
belarus,Belarus
business,business
carrion,carrion
christianity,Christianity
christianity,Christianity
cunning,cunning
cunning,Cunning
death,death
death,Death
deathOmen,death omen
divineProvidence,divine providence
evil,evil
faith,faith
hermit,hermit
hermit,Hermit
hopePersonified,Hope personified
illOmenForAVoyage,ill omen for a voyage
indiana,Indiana
ireland,Ireland
jealousy,jealousy
life,life
life,life
longevity,longevity
malice,malice
mamanBrigitte,Maman Brigitte
martyrdom,martyrdom
martyrdom,martyrdom
messenger,messenger
militaryHonor,military honor
misfortune,misfortune
mortality,mortality
negro,Negro
pride,pride
pride,Pride
prophet,prophet
spain,Spain
suffering,suffering
temples,temples
theArchangelCassiel,the archangel Cassiel
theDevil,the devil
theDevil,the Devil
theGreatSpirit,the Great Spirit
theHellesponticSibyl,the Hellespontic sibyl
thePassionOfChrist,the Passion of Christ
thePassive,the passive
theRational,the rational
theUnconscious,the unconscious
tlaloc,Tlaloc
trickster,trickster
unionOfOpposites,union of opposites
unlucky,unlucky
untrustworthiness,untrustworthiness
usuallyAnUnfavorableOmen,usually an unfavorable omen
varuna,Varuna
absorptionIntoTheDivine,absorption into the divine
alphaPsiLambda,Alpha Psi Lambda
anyWarriorSaint,any warrior saint
aSecretPlace,a secret place
bewitching,bewitching
birdFlightToHeaven,bird flight to heaven
commandOverLifeAndDeath,command over life and death
aSpiritualWeapon,a spiritual weapon
bishamon,Bishamon
camael,Camael
destroyerOfEvilAndIgnorance,destroyer of evil and ignorance
diseaseEspeciallyThePlague,"disease, especially the plague"
entranceToKnowledgeOrTheWayToKnowledge,"entrance to knowledge, or the way to knowledge"
exultationOfStDorothea,exultation of St. Dorothea
felicityInHeaven,felicity in heaven
fourArchangelsInhabitTheHeavensBeneathTheThroneOfAllah,four archangels inhabit the heavens beneath the throne of Allah
godSWrathTurnedAside,God’s wrath turned aside
individualPreservationAndResurrection,individual preservation and resurrection
intercession,intercession
inviting,inviting
jupiterGod,Jupiter (god)
loveAtFirstSight,love at first sight
maryAsTheNewEve,Mary as the new Eve
microcosmOfTheWorld,microcosm of the world
movingLife,moving life
omenOfWealthAndFameForAnyoneBornUnderIt,omen of wealth and fame for anyone born under it
orHandRestingOnASword,or hand resting on a sword)
hebeMythology,Hebe (mythology)
height,height
highPosition,high position
highSpirits,high spirits
highSpirits,high-spirits
imperialPower,imperial power
incentive,incentive
indiana,Indiana
indra,Indra
ingenuity,ingenuity
jupiter,Jupiter
jupiterMythology,Jupiter (mythology)
kansas,Kansas
keenVision,keen vision
liechtenstein,Liechtenstein
luxembourg,Luxembourg
moldova,Moldova
montenegro,Montenegro
naziGermany,Nazi Germany
newfoundlandAndLabrador,Newfoundland and Labrador
newfoundlandAndLabrador,Newfoundland and Labrador
newfoundlandAndLabrador,Newfoundland and Labrador
newMexico,New Mexico
nguyenDynasty,Nguyen dynasty
nigeria,Nigeria
oklahoma,Oklahoma
oklahoma,Oklahoma
oklahoma,Oklahoma
oklahoma,Oklahoma
oregon,Oregon
papuaNewGuinea,Papua New Guinea
paxGoddess,Pax (goddess)
portugal,Portugal
prayer,prayer
protection,protection
raiden,Raiden
revenge,revenge
sagittarius,Sagittarius
saintKittsAndNevis,Saint Kitts and Nevis
sky,sky
sky,Sky
sovereigntyAtSea,sovereignty at sea
spain,Spain
spiritualIllumination,spiritual illumination
stability,stability
steadfastness,steadfastness
sweden,Sweden
theArchangelsCassiel,the archangels Cassiel
theGraceOfGod,the grace of God
theMaldives,the Maldives
theMasculinePrinciple,the masculine principle
theVirginMary,the Virgin Mary
thunder,thunder
tunisia,Tunisia
uganda,Uganda
utah,Utah
victory,victory
victory,Victory
virginity,virginity
yugoslavia,Yugoslavia
silvanus,Silvanus
thePeopleSRepublicOfChina,the People's Republic of China
blood,blood
harvest,harvest
light,light
light,Light
rarity,rarity
achievement,achievement
delicacy,delicacy
firmness,firmness
florida,Florida
hardness,hardness
libra,Libra
longevity,longevity
longevity,longevity
lucky,lucky
marriage,marriage
money,money
speech,speech
sperm,sperm
strength,strength
strength,Strength
taurus,Taurus
theArchangelAnael,the archangel Anael
theHeavens,the heavens
theMoon,the moon
theMoon,the Moon
utah,Utah
venusPlanet,Venus (planet)
victory,victory
victory,Victory
water,water
water,Water
aHousewife,a housewife
ambiguityOfThought,ambiguity of thought
aTaskToBePerformedAndTheMeansForCarryingItOut,a task to be performed and the means for carrying it out
awakening,awakening
bacchanalianDionysianEcstasy,Bacchanalian/Dionysian ecstasy
chamberlains,chamberlains
christSImageInTheWorld,Christ’s image in the world
freedom,freedom
ghana,Ghana
healing,healing
humility,humility
humility,humility
humility,Humility
humility,Humility
individuality,individuality
japan,Japan
latency,latency
limitlessLight,limitless light
louisiana,Louisiana
love,love
love,love
magic,magic
mississippi,Mississippi
money,money
newZealand,New Zealand
nothingness,nothingness
portugal,Portugal
potentiality,potentiality
protection,protection
renunciation,renunciation
romania,Romania
theArchangelLumiel,the archangel Lumiel
theDwarfPlanetPluto,the dwarf planet Pluto
theFemininePrinciple,the feminine principle
theFool,the Fool
theInfinite,the infinite
theMonad,the monad
theMonad,the Monad
thePerfectNumber,the perfect number
theSun,the sun
theSun,the Sun
theUniverse,the universe
theWomb,the womb
totality,totality
unity,unity
vanuatu,Vanuatu
virtue,virtue
virtue,Virtue
vulva,vulva
wisdom,wisdom
wisdom,Wisdom
youth,youth
youth,Youth
maharashtra,Maharashtra
oneSHigherSelf,one’s higher self
beauty,beauty
descentOfTheHolySpiritToTheApostlesInParticularAndMankindInGeneral,"descent of the Holy Spirit to the Apostles in particular, and mankind in general"
detentionOfMoralProgress,detention of moral progress
exchangingSomethingOfGreaterValueForSomethingOfLesserValue,exchanging something of greater value for something of lesser value
flee,flee
personificationOfTheRainCloud,personification of the rain cloud
protectionFromSorcery,protection from sorcery
restoration,restoration
sigmaAlphaEpsilonPi,Sigma Alpha Epsilon Pi
sigmaAlphaIota,Sigma Alpha Iota
theEmperorYu,the Emperor Yu
thePersonificationOfChristianity,the personification of Christianity
thePersonificationsOfSimplicity,the personifications of Simplicity
thetaDeltaSigma,Theta Delta Sigma
thrownOnTheGravesOfSuicides,thrown on the graves of suicides
unconsciousRepression,unconscious repression
africa,Africa
alabama,Alabama
argentina,Argentina
arizona,Arizona
arizona,Arizona
attraction,attraction
australia,Australia
charm,charm
china,China
deception,deception
delicateBeauty,delicate beauty
despair,despair
divineHope,divine hope
education,education
elegance,elegance
elegance,elegance
femininity,femininity
fragrance,fragrance
grace,grace
grace,grace
grace,grace
happiness,happiness
hermes,Hermes
india,India
indonesia,Indonesia
iran,Iran
joy,joy
laos,Laos
libra,Libra
lithuania,Lithuania
love,love
love,love
luke,Luke
malta,Malta
malta,Malta
martialReadiness,martial readiness
wisdom,Wisdom
wyoming,Wyoming
kosovo,Kosovo
sriLanka,Sri Lanka
theStateOfPalestine,the State of Palestine
theRainbow,the rainbow
wadjet,Wadjet
craftiness,craftiness
fascination,fascination
guile,guile
michigan,Michigan
muSigmaUpsilon,Mu Sigma Upsilon
mysticCenter,mystic center
nepal,Nepal
nuAlphaKappa,Nu Alpha Kappa
nunavut,Nunavut
ohio,Ohio
peace,peace
peace,peace
peace,Peace
peace,Peace
power,power
power,Power
prajapati,Prajapati
resurrection,resurrection
russia,Russia
sanMarino,San Marino
silk,silk
solitariness,solitariness
sOTomAndPríncipe,São Tomé and Príncipe
stability,stability
suriname,Suriname
taweret,Taweret
theArchangelRaphael,the archangel Raphael
thePhilippines,the Philippines
theUnitedArabEmirates,the United Arab Emirates
theUnitedKingdom,the United Kingdom
treeOfLife,Tree of Life
turkey,Turkey
wisdom,wisdom
wisdom,Wisdom
worldAxis,World Axis
worldNavel,World Navel
wyoming,Wyoming
yemJa,Yemọja
zimbabwe,Zimbabwe
maharashtra,Maharashtra
mongolia,Mongolia
ssCosmasAndDamian,SS Cosmas and Damian
anIntensifierAfterANumber,an intensifier after a number
basisOfAllNumbers,basis of all numbers
boundlessness,boundlessness
burdenBearing,burden bearing
charity,charity
charity,Charity
charity,Charity)
christBearingTheSinsOfTheWorld,Christ bearing the sins of the world
ether,ether
existence,existence
hasTheValueOfLettersAJS,"has the value of letters A, J, S"
hiddenIntelligence,hidden intelligence
indivisibility,indivisibility
mankind,mankind
mediationBetweenManAndTheOrishas,mediation between man and the orishas
moralPurpose,moral purpose
negativeEnergy,negative energy
nonBeing,non-being
nonBeing,non-being
nonBeing,non-being
patientService,patient service
peacefulSleep,peaceful sleep
powerAndWillOfTheUniverse,power and will of the universe
protectionFromEvilMagic,protection from evil magic
spiritualHealingThroughFaithAndObedience,spiritual healing through faith and obedience
spiritualRevelation,spiritual revelation
startingPoint,starting point
theAin,the Ain
theAuspicious,the auspicious
theGerminal,the germinal
theHeavenly,the heavenly
theIncomprehensible,the incomprehensible
theLawOfChrist,the law of Christ
theMagician,the Magician
thePerfectForm,the perfect form
thePerfectUnityOfTheTrinity,the perfect unity of the Trinity
thePersonificationsOfObedience,the personifications of Obedience
thePrimordialAndrogyne,the primordial androgyne
theResurfacingOfIdeasOrBeliefsThoughtDead,the resurfacing of ideas or beliefs thought dead
theSelfSufficient,the self-sufficient
theTranscendent,the transcendent
theUnityOfGod,the unity of God
theUniversal,the universal
trials,trials
ultimateMystery,ultimate mystery
uniqueness,uniqueness
witchesForChildren,witches for children
anguilla,Anguilla
beginning,beginning
california,California
charm,charm
charm,charm
colorado,Colorado
cosmicEgg,Cosmic Egg
divineEssence,divine essence
elSalvador,El Salvador
eos,Eos
equability,equability
eternity,eternity
evil,evil
failure,failure
theVirginMaryAsTheQueenOfHeaven,the Virgin Mary as the queen of heaven
theVirginMaryAtTheImmaculateConception,the Virgin Mary at the Immaculate Conception
alphaSigmaAlpha,Alpha Sigma Alpha
attainment,attainment
austriaHungary,Austria-Hungary
calliope,Calliope
catherineOfAlexandria,Catherine of Alexandria
charm,charm
christAsKing,Christ as king
completeness,completeness
continuity,continuity
death,death
death,Death
envy,envy
envy,Envy
eternalLife,eternal life
fertility,fertility
fertility,fertility
francisOfAssisi,Francis of Assisi
funerals,funerals
gluttonyPersonified,Gluttony personified
haiti,Haiti
honor,honor
humiliation,humiliation
illOmen,ill omen
imperialPower,imperial power
lust,lust
lust,lust
lust,Lust
lust,Lust
majesty,majesty
mut,Mut
nobleBirth,noble birth
norway,Norway
ops,Ops
perfection,perfection
pharaohs,pharaohs
power,power
power,Power
rank,rank
redemption,redemption
renouncedRoyalty,renounced royalty
renouncedRoyalty,renounced royalty
rewardOfVirtue,reward of virtue
rheaMythology,Rhea (mythology)
riverGods,river gods
royalty,royalty
scotland,Scotland
soothsayers,soothsayers
sovereignty,sovereignty
stHubert,St. Hubert
stNicholasOfTolentino,St. Nicholas of Tolentino
stPeterMartyr,St. Peter Martyr
strength,strength
strength,Strength
stThereseOfLisieux,St. Therese of Lisieux
success,success
sunRays,sun rays
supremacy,supremacy
sweden,Sweden
theAbsolute,the absolute
theAbsolute,the Absolute
theCrucifixionOfChrist,the crucifixion of Christ
theCrucifixionOfChrist,the Crucifixion of Christ
theCzechRepublic,the Czech Republic
theEucharist,the Eucharist
theFootprintOfBuddha,the footprint of Buddha
theGoodSamaritan,the Good Samaritan
theNetherlands,the Netherlands
thePhilosopherSStone,the philosopher’s stone
theSun,the sun
theSun,the sun
theSun,the Sun
theSun,the Sun
theUnitedKingdom,the United Kingdom
ukraine,Ukraine
unionOfHeavenAndEarth,union of heaven and earth
urania,Urania
victory,victory
victory,victory
victory,Victory
victory,Victory
victoryOverDeath,victory over death
virility,virility
virility,virility
aGhoul,a ghoul
anAuspiciousSignOnTheFootprintOfBuddha,an auspicious sign on the footprint of Buddha
aPlaceForTheInterminglingOfForces,a place for the intermingling of forces
attributeThePersonificationsOfFortitudeConstancy,"attribute the personifications of Fortitude, Constancy"
bumpkin,bumpkin
boundaryMarker,boundary marker
conciliationHumility,conciliation humility
generallyUnfavorable,generally unfavorable
havenForGrowthOfTheSpirit,haven for growth of the spirit
heavenlyCreativeFire,heavenly creative fire
heavenlyVestments,heavenly vestments
idleFillingOfTime,idle filling of time
inexhaustiblePlenty,inexhaustible plenty
innerValues,inner values
looseOrFlashyWoman,loose or flashy woman
energy,energy
eternity,eternity
