symbol,concept,contexts,types
tin,10thAnd18ThWeddingAnniversaries,generalOrUnknown,AssociationSimulation
turquoise,6thAnd11ThAnniversaries,generalOrUnknown,AssociationSimulation
west,abodeOfDemons,generalOrUnknown,Simulation
west,abodeOfEvil,generalOrUnknown,Simulation
whiteCastle,aBeneficentPlace,generalOrUnknown,Simulation
whiteCastle,abodeOfAHeavenlyPower,generalOrUnknown,Simulation
whiteIron,10thWeddingAnniversaries,generalOrUnknown,AssociationSimulation
wood,5thWeddingAnniversaries,generalOrUnknown,AssociationSimulation
110,aLifeOfHolinessAndVirtueGlorifyingTheSoul,generalOrUnknown,AssociationSimulation
120,aLargeCrowd,jewish,Simulation
300,aLargeOrInfiniteNumber,generalOrUnknown,Simulation
666,alsoAppliedToMartinLutherAndOtherProtestantsAdolfHitler,christian,Simulation
8,allThePossibilitiesOfManifestation,taoist,Simulation
allSeedsRemovedWhenBlown,aLoverIsFaithful,flowerLanguage,Simulation
almsBowl,aloofnessFromLife,generalOrUnknown,Simulation
anchor,alphaSigmaTau,heraldic,Simulation
apolloSArrows,alsoPainAndDisease,grecoRoman,Simulation
appleInTheHandOfTheChristChild,alludesToChristAsTheRedeemerOfManFromOriginalSin,christian,Simulation
arecaceae,alphaPsiLambda,heraldic,Simulation
assEarsOnAHuman,aLewdCharacter,generalOrUnknown,Simulation
basketOfGlassware,alnascharSDreamArabianNights,generalOrUnknown,Simulation
blackAndWhite,allOppositesLightDarkGoodEvil,generalOrUnknown,Simulation
camel,aLargeStupidPerson,german,Simulation
cassielArchangel,alders,generalOrUnknown,AssociationSimulation
castration,aLifeSacrifice,generalOrUnknown,Simulation
childrenPlayingWithToyWindmills,allegoryOfAir,generalOrUnknown,Simulation
columns,alphaEpsilonPhi,heraldic,Simulation
culturalDepictionsOfLions,Aldi,urartian,Simulation
cuttingTheHair,alsoBelievedToStopRainfall,chinese,Simulation
deepRedCarnation,alas,flowerLanguage,Simulation
doberman,alphaPsiRho,heraldic,Simulation
dog,aLowAnimal,german @ islamic @ jewish,Simulation
dolphin,alphaOmegaEpsilon,heraldic,Simulation
eagleAndOwlTogether,alphaAndOmegaRespectively,christian,Simulation
earOfMaize,allThePeopleAndThingsOfTheUniverse,amerindian,Simulation
egg,allSeminalExistence,generalOrUnknown,Simulation
ermine,alludesToTheSubjectSVirtue,portraiture,Simulation
excrement,alliedWithWhatIsHighestInValue,generalOrUnknown,Simulation
fasces,alphaPhiDelta,heraldic,Simulation
fewSeedsRemain,aLoverIsUnfaithful,flowerLanguage,Simulation
fleece,alluringDesire,generalOrUnknown,Simulation
forkImplement,aLargeForkMayIndicateMartyrdom,generalOrUnknown,Simulation
fossil,aLinkBetweenTwoWorlds,generalOrUnknown,Simulation
frog,aLowerOrderAspiringToBecomeHigher,jewish,Simulation
gangesRiver,allCleansing,hindu,Simulation
ganymede,allegoryOfTheProgressOfTheHumanSoulTowardGod,greek,Simulation
goldenLyre,alphaChiOmega,heraldic,Simulation
greatSphinxOfGiza,alphaPhiAlpha,heraldic,Simulation
greenSedanChair,aLowerGovernmentOfficial,chinese,AttributeSimulation
guineaHen,aLowWoman,generalOrUnknown,Simulation
heartsPlayingCards,AlsoKnownAsCupsLifeCenter,generalOrUnknown,Simulation
hedera,alphaKappaAlpha,heraldic,Simulation
hedera,alphaPhi,heraldic,Simulation
hourglass,alphaKappaDeltaPhi,heraldic,Simulation
infinitySymbol,alphaSigmaKappa,heraldic,Simulation
janus,allPairsOfOpposites,roman,Simulation
kingfisher,alcyone,grecoRoman,AssociationSimulation
lion,aloofness,generalOrUnknown,Simulation
lionOfJudah,ali,islamic,Simulation
lockOfHair,aLoveFetish,generalOrUnknown,Simulation
manySeedsRemain,aLoverIsIndifferent,flowerLanguage,Simulation
moonAndSun,allRadiance,taoist,Simulation
moonAndSunInScenesOfTheCrucifixion,allusionToTheConvulsionsOfTheHeavens,christian,Simulation
nailsHardware,alsoOfSsHelena,christian,AttributeSimulation
orangeInTheHandOfTheChristChild,alludesToHimAsTheFutureRedeemerOfMankindFromOriginalSin,christian,Simulation
oysterMaid,aLowTrade,generalOrUnknown,Simulation
phoenicianGalley,alphaKappaPsi,heraldic,Simulation
phoenixMythology,alphaSigmaPhi,heraldic,Simulation
phoenixMythology,alphaSigmaPhiPhilippines,heraldic,Simulation
pigeon,aLowBird,modernUrbanUse,Simulation
plough,alphaGammaSigmaFraternity,heraldic,Simulation
purse,aLiberalBlessing,heraldic,Simulation
quill,alphaXiDelta,heraldic,Simulation
ramSheep,aLeader,heraldic,Simulation
redLamp,allowsTruthToBeDistinguishedFromFalsity,chinese,Simulation
russia,alcoholism,generalOrUnknown,Simulation
saintElmoSFire,aLostSoul,breton,Simulation
scarlet,aLoudColor,generalOrUnknown,Simulation
serpent,akurra,australianAboriginal,Simulation
serpent,alphaEpsilonIota,heraldic,Simulation
serpentWithAWomanSHead,aLamia,grecoRoman,Simulation
sheafAgriculture,alphaOmicronPi,heraldic,Simulation
shell,alludesToThePresenceOfWater,generalOrUnknown,Simulation
shipOnAStormySea,allusionToChristSCalmingOfTheSeaOfGalilee,christian,Simulation
sirius,allSeeingVigilance,grecoRoman,Simulation
skullAndCrossbonesFraternitiesAndSports,alphaGammaKappa,heraldic,Simulation
smoke,allThatIsFleeting,generalOrUnknown,Simulation
stagWithDragonSHeadAndLionSMane,aKyLin,chinese,Simulation
stripedCarnation,aLoveThatCannotBeShared,generalOrUnknown,Simulation
swan,aLearnedPerson,heraldic,Simulation
swan,aLoverOfHarmony,heraldic,Simulation
swineherd,aLowJob,generalOrUnknown,Simulation
sword,alban,christian,AttributeSimulation
swordInStone,alphaBetaPsi,heraldic,Simulation
tambourine,alsoOfHeraclesHerculesWhenDressedAsAWoman,grecoRoman,AttributeSimulation
theKeyOfTheSocietyBearsTheThreeGreekLettersTogetherWithTheEyeOfWisdom,alphaSigmaNu,heraldic,Simulation
theLabarum,alphaChiRho,heraldic,Simulation
theSheep,alphaLambdaOmega,heraldic,Simulation
threeFishWithOneHead,allHolyTrinities,generalOrUnknown,Simulation
thunderbolt,aksmobhya,buddhist,AttributeSimulation
twinSerpents,allBinaryOppositesGoodEvilMaleFemaleLifeDeath,generalOrUnknown,Simulation
twoContendingDragonsFacingEachOther,allOppositesAndComplements,chinese,Simulation
twoHandsClaspedInAHandshake,alliance,generalOrUnknown,Simulation
urnLyingOnItsSidePouringWater,alpheus,grecoRoman,AttributeSimulation
wall,aLimitingSituation,generalOrUnknown,Simulation
whiteHorse,alphaChiAlpha,heraldic,Simulation
1000Days,aCosmicDay,gnostic,Simulation
22,aCycleSEnd,hindu,AssociationSimulation
acanthus,admirationOfTheArts,heraldic,Simulation
actOfSittingDown,acquiescence,generalOrUnknown,Simulation
afterbirth,aCrocodile,javanese,Simulation
amaranth,aCockscomb,generalOrUnknown,Simulation
androgyne,adamBeforeEveWasCreatedOutOfHim,generalOrUnknown,Simulation
apollo,acquiredWisdom,grecoRoman,Simulation
aquaticMonster,aCosmicOrPsychologicalSituationAtADeeperLevelThanLandMonsters,generalOrUnknown,Simulation
arrowShotFromABow,actionThatCannotBeTakenBack,generalOrUnknown,Simulation
ascendingStairs,acquisitionOfLearning,generalOrUnknown,Simulation
assInALionSSkin,aCowardWhoHectors,generalOrUnknown,Simulation
autumnFan,aDesertedWife,chinese,Simulation
banner,actionAgainstMaleficentPowers,hindu,Simulation
batAnimal,aDeadSoul,african,Simulation
bear,aDifficulty,generalOrUnknown,Simulation
blackbird,aClearSoundingFamilyName,heraldic,Simulation
blackHen,aDiabolicalAgent,christian,Simulation
bowAndArrows,actionAsAMeansOfEffectingTheWill,generalOrUnknown,Simulation
cancerDisease,aDebilitatingSituation,generalOrUnknown,Simulation
cat,aCursedAnimal,buddhism,Simulation
centaur,aCombinationOfBlindPowerAndGuidingSpirit,generalOrUnknown,Simulation
circle,aCyclicProcess,generalOrUnknown,Simulation
coot,aCommonOrStupidFellow,generalOrUnknown,Simulation
crookedFingers,aCrabbedDisposition,generalOrUnknown,Simulation
crow,aCorpse,jewish,Simulation
devouring,acquisitionOfThePowersOfThatWhichIsEatenBurial,generalOrUnknown,Simulation
drawingWaterFromAWell,acquiringTruth,generalOrUnknown,Simulation
drinking,acquiringDivineLifeAndPower,generalOrUnknown,Simulation
eagle,aDivineMessenger,generalOrUnknown,Simulation
eagleOwl,aDivineAncestor,ainu,Simulation
elizabethan,aCourtesan,british,Simulation
ember,aConcentratedExpressionOfFire,generalOrUnknown,Simulation
emptyThrone,acintya,hindu,Simulation
feast,aCompletedPeriodOrStageOfDevelopment,generalOrUnknown,Simulation
figLeaf,adamAndEveAfterEatingTheFruitOfTheTreeOfTheKnowledgeOfGoodAndEvil,jewish,AttributeSimulation
figLeaf,adamAndEveAfterTheFall,jewish,AttributeSimulation
fisherman,adapa,babylonian,Simulation
flyInsect,aDandy,generalOrUnknown,Simulation
fool,aCriticOfChurchAndEstablishmentPractices,generalOrUnknown,Simulation
forcepsHoldingATooth,aDentist,generalOrUnknown,AttributeSimulation
friday,aDayOfMelancholyFecklessness,generalOrUnknown,Simulation
gardener,aCultivatorOfHisSoul,generalOrUnknown,Simulation
gate,aDividingBarrier,generalOrUnknown,Simulation
gorgon,aConditionBeyondTheEnduranceOfTheConsciousMind,greek,Simulation
graspingOneSOwnForelockBeforeASuperior,acknowledgementOfFealty,generalOrUnknown,Simulation
greyhound,aCleanCreatureWhileOtherDogsAreConsideredUnclean,islamic,Simulation
hindDeer,acuteHearing,generalOrUnknown,Simulation
hunter,actionForItsOwnSake,generalOrUnknown,Simulation
imp,aDevilSHelperInHell,christianArt,Simulation
insanity,aDisorderedConditionInTheSoul,generalOrUnknown,Simulation
justiceTarot,activeAdministrationOfLaw,generalOrUnknown,Simulation
king,aConcentratedFatherAndHeroImage,generalOrUnknown,Simulation
kingOfClubs,aDarkHairedMan,cartomancy,Simulation
kiteBird,aCoarseBird,chinese,Simulation
kiteBird,aDivineBird,japanese,Simulation
labyrinth,aComplexProblem,generalOrUnknown,Simulation
lapwing,aDisguiseZeusJupiter,grecoRoman,Simulation
largeEars,adaptiveEase,generalOrUnknown,Simulation
lasso,aCowboyInTheAmericanWest,generalOrUnknown,AttributeSimulation
lightning,aDeitySPower,generalOrUnknown,ManifestationSimulation
lionSSkinOnAnAss,ACowardWhoHectors,generalOrUnknown,Simulation
lyre,activeParticipationInBeatificUnion,christian @ jewish,Simulation
mercuryPlanet,adaptation,generalOrUnknown,AssociationSimulation
nordic,aDivineBeing,generalOrUnknown,AttributeSimulation
oceanSwellsOrAStormySea,activityOrDisturbanceInTheUnconscious,generalOrUnknown,Simulation
orchestra,activityOfTheCorporateWhole,generalOrUnknown,Simulation
otter,aCleanAnimalToKillOneIsSinful,zoroastrian,Simulation
oven,aCrucible,generalOrUnknown,Simulation
owl,acuteWit,heraldic,Simulation
pegasus,aCloudOfFructifyingRain,grecoRoman,Simulation
phallus,activePower,generalOrUnknown,Simulation
plutoDwarfPlanet,actors,generalOrUnknown,AssociationSimulation
potter,aCreatorDeity,generalOrUnknown,Simulation
queenOfClubs,aDarkHairedWoman,cartomancy,Simulation
reaper,aDeathFigure,generalOrUnknown,Simulation
ring,aContract,generalOrUnknown,Simulation
saturnalia,aDesperateQuestForAWayOutOfTime,roman,Simulation
sheol,aDiminishedLifeOfSilence,jewish,Simulation
shoulderflash,aDivisionEtc,generalOrUnknown,EmblematicSimulation
smith,aDespisedFigure,pastoralSocieties,Simulation
snail,acquiredPossessionsToBePreservedAndEnlarged,heraldic,Simulation
sphinxWithRamSHead,aCriosphinx,generalOrUnknown,Simulation
spider,acumen,roman,Simulation
sun,activePowerOfNature,generalOrUnknown,Simulation
sword,aCross,generalOrUnknown,Simulation
tail,aDevil,generalOrUnknown,AttributeSimulation
tail,adjustment,generalOrUnknown,Simulation
tattoo,aCosmicActivity,generalOrUnknown,Simulation
temperanceTarot,adaptationAndCoordination,generalOrUnknown,Simulation
throwingATowelInABoxingRing,admissionOfDefeat,generalOrUnknown,Simulation
thunderbolt,actionOfTheHigherWorldUponTheLower,generalOrUnknown,Simulation
unsanctionedOpeningOfABox,aDangerousActWithUnforeseenConsequences,generalOrUnknown,Simulation
vulture,aDesolatePlace,generalOrUnknown,AttributeSimulation
w,acquisition,generalOrUnknown,AssociationSimulation
whenPointedAtSomeone,ACurse,generalOrUnknown,Simulation
whenWornOnTheLeftShoulderAndAcrossTheBreast,aDeacon,christian,AttributeSimulation
whiteFaceOnAnActor,aCunning,chinese,Simulation
whiteNoseOnAnActor,aComedian,chinese,Simulation
2000,ageAtWhichACraneBecomesAllBlack,farEastern,Simulation
30,ageAtWhichEzekielBeganToProphesyDavidBeganToReign,jewish,Simulation
30,ageAtWhichJohnTheBaptistBeganToPreach,christian,Simulation
300,aFreeAndAutonomousAgent,generalOrUnknown,Simulation
40,ageAtWhichMosesWasCalledByGod,jewish,Simulation
50,aFavorableNumber,generalOrUnknown,Simulation
70,aFortunateNumber,generalOrUnknown,Simulation
80,advisorsOfBuddha,buddhist,Simulation
81,ageAtWhichAManIsConsideredCompleted,chinese,Simulation
81,ageAtWhichBuddhaDied,buddhist,Simulation
annulet,aFifthSon,heraldic,Simulation
antichrist,adversaryOfTheSoul,christian,Simulation
aum,affirmation,generalOrUnknown,Simulation
banjo,aFavoriteInstrumentOfTheDevil,folkloric,Simulation
batAnimal,aFoodOfImmortality,taoist,Simulation
blackLamb,aFlockCannotProsperWithoutOne,folkloric,Simulation
bracesDental,adolescents,generalOrUnknown,AttributeSimulation
bubble,aDream,generalOrUnknown,Simulation
bull,aFormOfTeshub,hittite,Simulation
bull,aFormOfTheLunarGodSin,sumeroSemitic,Simulation
butterfly,aFickleLover,japanese,Simulation
butterfly,aGeisha,japanese,Simulation
cacalia,adulation,flowerLanguage,Simulation
capricornusMythology,aFormOfEaOannes,babylonian,Simulation
cat,aFuneralAnimal,celtic,Simulation
caul,affirmationOfSpirituality,generalOrUnknown,Simulation
cherryFruit,aFruitOfParadiseAndTheBlessed,christian,Simulation
chrysalis,aFleetingStateBetweenTwoStagesOfBeing,generalOrUnknown,Simulation
cow,aFormOfHeraJunoIo,grecoRoman,Simulation
coyote,aFormOfQuetzalcoatl,aztecan,Simulation
craneBird,aFormOfPwyll,celtic,Simulation
daisy,aFlowerOfParadise,art,Simulation
demogorgon,aFertilitySpirit,generalOrUnknown,Simulation
dockPlant,affectionPersonified,generalOrUnknown,AttributeSimulation
dove,aDoveWasSentForthFromTheArkOnTheSeventhDayOfTheVoyage,babylonian,Simulation
dragon,adversary,generalOrUnknown,Simulation
elijah,aForerunnerOfChrist,christian,Simulation
ethiopia,aFarAwayLand,generalOrUnknown,Simulation
font,admissionToTheChurchByBaptism,christian,Simulation
fox,aFalsePreacher,generalOrUnknown,Simulation
foxfire,aForestSpirit,generalOrUnknown,Simulation
ghostWithoutHandsOrFeetAndHisHeadTiedToThePommelOfASaddle,aDund,indic,Simulation
goldNecklace,aForeignSoldier,roman,AttributeSimulation
grayHairedOldManLivingBehindAStove,aDomovik,russian,Simulation
greenLocustTree,affectionBeyondTheGrave,flowerLanguage,Simulation
grouseBird,aForbearerWhoFoughtAGallantDuelOrWasAGreatHunter,heraldic,Simulation
hangedManTarot,aFlightToOvercomeEvil,generalOrUnknown,Simulation
hobbyHorse,aDrudge,generalOrUnknown,Simulation
hornedSerpent,aFormOfTheGreatManitou,northAmericanIndian,Simulation
ivoryScepter,aeetes,grecoRoman,Simulation
jackKnaveOfHearts,aeneas,generalOrUnknown,AssociationSimulation
johnTheBaptist,aForerunner,christian,Simulation
joseph,aFavoriteSon,jewish,Simulation
kiteBird,aFalseServant,generalOrUnknown,Simulation
lancet,aDoctor,generalOrUnknown,AttributeSimulation
leatherMedal,aFarcicalAwardForStupidityOrInferiority,generalOrUnknown,Simulation
leek,aeddon,celtic,AttributeSimulation
linden,aFeminineTree,generalOrUnknown,Simulation
lion,advancementAndCognizance,buddhist,Simulation
lotus,aGentlemanFromLowBeginningsButUncontaminatedByThem,chinese,Simulation
lyre,aeolus,grecoRoman,AttributeSimulation
manna,aFreeAndValuableGift,generalOrUnknown,Simulation
miscarriage,aFailureOfOrderNaturalOrProperDevelopment,generalOrUnknown,Simulation
morningGlory,affectation,flowerLanguage,Simulation
moth,aFormOfPsyche,greek,Simulation
mulberryTreeThatAppearsMiraculouslyAtADynasticEvent,aEvilOmen,chinese,Simulation
mule,aFaithfulWorker,generalOrUnknown,Simulation
music,aGeneralRestorative,generalOrUnknown,Simulation
oak,aDoor,generalOrUnknown,Simulation
onager,adventuresomeness,jewish,Simulation
palmAndJasmine,adorationOfGod,christian @ generalOrUnknown,Simulation
peony,affluence,generalOrUnknown,Simulation
polarBear,aFormOfTuurngasuk,inuit,Simulation
poplar,aFlourishingFamily,heraldic,Simulation
quail,aFemaleChildUpTo10YearsOfAge,generalOrUnknown,Simulation
reed,advancement,chinese,Simulation
scorpion,aFemaleSMaleSoul,dogon,AssociationSimulation
ship,aFeminineSymbolOfContainment,generalOrUnknown,Simulation
shofar,admonitionsOfTheProphets,heraldic,Simulation
sorrel,affectionEspeciallyParental,flowerLanguage,Simulation
spiderOphrys,adroitness,flowerLanguage,Simulation
stocksRestraint,aFormOfEntanglement,generalOrUnknown,Simulation
sunflowerHelianthusAnnuus,affectionateRemembrance,generalOrUnknown,Simulation
swan,aFormOfZeusJupiter,grecoRoman,Simulation
sword,aFreeMan,heraldic,Simulation
tamedFalcon,aGentileConvertToChristianity,christian,Simulation
tapster,aFalsifierOfAccounts,generalOrUnknown,Simulation
tattoo,adornment,generalOrUnknown,Simulation
thief,aForceOfChaos,generalOrUnknown,Simulation
totem,aFamily,generalOrUnknown,EmblematicSimulation
trousers,adulthood,generalOrUnknown,Simulation
turnipSeed,aFoodOfTheImmortals,taoist,Simulation
twoAnimals,aDoublingOfTheirTraits,generalOrUnknown,Simulation
venusPlanet,adolescence,generalOrUnknown,AssociationSimulation
vulture,aFormOfIsis,egyptian,Simulation
w,adventurousness,generalOrUnknown,AssociationSimulation
winglessSerpent,aFixedSubstance,alchemic,Simulation
wolf,aFalseProphet,generalOrUnknown,Simulation
deity,aForcePersonified,generalOrUnknown,Simulation
1000,absolutePerfection,generalOrUnknown,Simulation
110,aCanonicalNumber,generalOrUnknown,Simulation
18,accidents,kabalistic,AssociationSimulation
almsBowl,aBuddhistMonk,buddhist,AttributeSimulation
amethyst,absolution,christian,Simulation
anonymity,absorptionIntoTheDivine,generalOrUnknown,Simulation
assEarsOnAHuman,aBuffoon,generalOrUnknown,Simulation
bayLaurel,achievementInPoetrySongAndTheArtsInGeneral,generalOrUnknown,Simulation
blackCastle,abodeOfHadesPlutoEvilPowers,generalOrUnknown,Simulation
blackMoon,absoluteVoid,generalOrUnknown,Simulation
blindOldWomanInTheRoundOfExistence,absenceOfKnowledge,buddhist,Simulation
brazierWithWoodAndKnife,abrahamAndIsaac,jewish,AssociationSimulation
butterfly,abundantLeisure,chinese,Simulation
calfCattle,aBoyOfUpTo20YearsOfAge,generalOrUnknown,Simulation
cannibalism,absorbingThePowerOfThePersonEaten,generalOrUnknown,Simulation
chains,acceptableAndWeightyService,heraldic,Simulation
chaos,absenceOfLove,generalOrUnknown,Simulation
chariotWithABodyDraggingBehind,achillesVictoryOverHector,grecoRoman,Simulation
cloudDescendingOnASacrifice,acceptanceByTheGods,chinese,Simulation
comet,aBrilliantButShortLivedCareer,generalOrUnknown,Simulation
crocus,abuseNot,flowerLanguage,Simulation
crowingHen,aBoldWoman,generalOrUnknown,Simulation
cupid,aBow,generalOrUnknown,Simulation
cyclops,abruptEmotion,grecoRoman,Simulation
deer,aCatechumen,christian,Simulation
deer,aChristianSearchingAfterTruth,christian,Simulation
devilSBridge,aBridgeSoDifficultToMakeThatTheDevilSAidIsEnlistedForTheCostOfTheFirstSoulWhoUsesIt,generalOrUnknown,Simulation
dirtiness,accumulationOfErrorPrejudiceSin,generalOrUnknown,Simulation
divingIntoWaves,aBreakInTheNormalLifestyle,generalOrUnknown,Simulation
dog,acceptableOnlyAsAGuard,islamic,Simulation
dog,accompaniesFuneralProcessions,parsi,Simulation
dog,accompaniesTheSun,phoenician,Simulation
dragon,aChief,celtic,EmblematicSimulation
dream,absenceOfTheConsciousnessOfReality,generalOrUnknown,Simulation
drinkingBlood,absorbingThePowerOfWhateverOrWhoeverBled,generalOrUnknown,Simulation
emperor,absoluteRule,generalOrUnknown,Simulation
emperorTarot,absolutePower,generalOrUnknown,Simulation
emptyChair,absenceOfAuthority,generalOrUnknown,Simulation
eyes,abodeOfTheMind,generalOrUnknown,Simulation
flock,aChurchCongregation,generalOrUnknown,Simulation
fool,absoluteInnocence,generalOrUnknown,Simulation
foolTarot,absoluteZeroFromWhichAllProceedsAndReturns,generalOrUnknown,Simulation
foolTarot,aChoiceOfVitalImportance,generalOrUnknown,Simulation
g,aCenterOfEnlightenmentOrDirection,masonic,Simulation
geranium,aBourgeoisPlant,generalOrUnknown,Simulation
gingerbread,aBurialOrDeityOffering,generalOrUnknown,Simulation
goat,abundantVitality,generalOrUnknown,Simulation
goldenStag,aBodhisattvaWhoCalmsPassionsAndSavesMankindFromDespair,hindu,Simulation
goldRose,absoluteAchievement,generalOrUnknown,Simulation
gong,aBronzeGongWasSoundedAtTheDeathOfAKingOrALunarEclipse,greek,Simulation
hagar,aBondswomanUnjustlyOppressed,jewish,Simulation
hare,aChristianSHasteToObtainDivineGifts,christian,Simulation
heartOrgan,absoluteIntellect,islamic,Simulation
heartsPlayingCards,aceOfHeartsFamilyTies,cartomancy,Simulation
